video_frame,label,left,width,top,height
57992_000301_Sideline_5,V92,494,20,230,26
57992_000301_Sideline_5,H87,496,22,350,28
57992_000301_Sideline_5,V59,498,20,386,23
57992_000301_Sideline_5,V91,542,22,356,24
57992_000301_Sideline_5,V32,547,21,202,26
57992_000301_Sideline_5,H72,561,22,330,28
57992_000301_Sideline_5,V99,588,20,340,20
57992_000301_Sideline_5,H66,613,18,319,22
57992_000301_Sideline_5,H60,662,20,285,25
57992_000301_Sideline_5,V90,667,23,319,24
57992_000301_Sideline_5,H5,680,20,292,22
57992_000301_Sideline_5,H68,715,19,292,21
57992_000301_Sideline_5,V53,774,22,272,22
57992_000301_Sideline_5,H82,788,18,186,26
57992_000301_Sideline_5,H32,838,23,356,25
57992_000301_Sideline_5,H28,997,25,346,24
57992_000301_Sideline_6,V54,344,22,286,28
57992_000301_Sideline_6,V49,345,23,384,25
57992_000301_Sideline_6,V55,404,24,371,27
57992_000301_Sideline_6,V92,493,21,230,26
57992_000301_Sideline_6,H87,495,23,351,26
57992_000301_Sideline_6,V59,497,21,386,23
57992_000301_Sideline_6,V91,542,22,356,24
57992_000301_Sideline_6,V32,550,22,201,25
57992_000301_Sideline_6,H72,560,22,331,26
57992_000301_Sideline_6,V99,587,20,340,21
57992_000301_Sideline_6,H66,610,20,318,22
57992_000301_Sideline_6,H60,662,20,285,25
57992_000301_Sideline_6,V90,667,22,320,23
57992_000301_Sideline_6,H5,678,22,291,25
57992_000301_Sideline_6,H68,715,19,292,21
57992_000301_Sideline_6,V97,722,20,273,21
57992_000301_Sideline_6,V53,776,20,272,21
57992_000301_Sideline_6,H82,788,18,186,26
57992_000301_Sideline_6,H32,838,24,356,25
57992_000301_Sideline_6,H28,997,25,346,24
57992_000301_Sideline_7,V49,343,23,286,28
57992_000301_Sideline_7,V55,404,23,371,27
57992_000301_Sideline_7,V92,493,21,230,26
57992_000301_Sideline_7,V59,496,22,351,28
57992_000301_Sideline_7,V91,543,22,357,24
57992_000301_Sideline_7,V32,550,23,201,25
57992_000301_Sideline_7,H72,560,22,331,27
57992_000301_Sideline_7,V99,587,20,340,21
57992_000301_Sideline_7,H66,611,20,318,21
57992_000301_Sideline_7,H60,661,21,285,25
57992_000301_Sideline_7,V90,666,22,320,22
57992_000301_Sideline_7,H5,676,22,296,24
57992_000301_Sideline_7,H68,715,18,292,21
57992_000301_Sideline_7,V97,721,20,273,22
57992_000301_Sideline_7,V53,774,22,271,23
57992_000301_Sideline_7,H82,787,19,186,25
57992_000301_Sideline_7,H32,837,24,356,25
57992_000301_Sideline_7,H28,996,26,346,24
57992_000301_Sideline_8,V54,342,24,286,28
57992_000301_Sideline_8,V49,344,23,384,24
57992_000301_Sideline_8,V55,404,23,371,27
57992_000301_Sideline_8,V92,493,21,230,26
57992_000301_Sideline_8,V59,496,22,351,28
57992_000301_Sideline_8,V91,543,22,357,24
57992_000301_Sideline_8,V32,554,20,201,25
57992_000301_Sideline_8,H72,560,22,331,27
57992_000301_Sideline_8,V99,586,20,340,21
57992_000301_Sideline_8,H66,611,20,318,21
57992_000301_Sideline_8,H60,662,19,286,24
57992_000301_Sideline_8,V90,666,22,320,23
57992_000301_Sideline_8,H5,676,22,294,25
57992_000301_Sideline_8,H68,715,20,292,22
57992_000301_Sideline_8,V53,774,20,272,22
57992_000301_Sideline_8,H82,787,18,187,25
57992_000301_Sideline_8,H32,838,22,356,26
57992_000301_Sideline_8,H28,996,26,346,24
57992_000301_Sideline_9,V54,343,22,286,28
57992_000301_Sideline_9,V49,344,23,384,24
57992_000301_Sideline_9,V55,404,23,371,27
57992_000301_Sideline_9,V92,492,22,231,25
57992_000301_Sideline_9,V59,495,23,351,27
57992_000301_Sideline_9,V91,542,22,357,25
57992_000301_Sideline_9,V32,558,20,202,24
57992_000301_Sideline_9,H72,560,22,332,26
57992_000301_Sideline_9,V99,586,19,340,22
57992_000301_Sideline_9,H66,611,18,320,20
57992_000301_Sideline_9,H60,660,21,285,25
57992_000301_Sideline_9,V90,667,22,320,23
57992_000301_Sideline_9,H5,676,22,294,24
57992_000301_Sideline_9,H68,714,22,292,22
57992_000301_Sideline_9,V97,720,21,273,21
57992_000301_Sideline_9,V53,772,22,271,22
57992_000301_Sideline_9,H82,787,18,187,25
57992_000301_Sideline_9,H32,838,22,356,26
57992_000301_Sideline_9,H28,998,24,346,23
57992_000301_Sideline_10,V54,342,24,287,27
57992_000301_Sideline_10,V49,344,22,384,25
57992_000301_Sideline_10,V55,403,24,371,27
57992_000301_Sideline_10,V92,492,22,231,25
57992_000301_Sideline_10,V59,495,23,351,27
57992_000301_Sideline_10,V91,542,22,357,24
57992_000301_Sideline_10,V32,558,21,201,25
57992_000301_Sideline_10,H72,560,22,332,26
57992_000301_Sideline_10,V99,586,18,340,22
57992_000301_Sideline_10,H66,608,20,318,21
57992_000301_Sideline_10,H60,662,20,286,24
57992_000301_Sideline_10,V90,666,20,318,20
57992_000301_Sideline_10,H5,676,22,294,25
57992_000301_Sideline_10,H68,715,20,292,20
57992_000301_Sideline_10,V97,720,20,272,22
57992_000301_Sideline_10,V53,774,20,272,22
57992_000301_Sideline_10,H82,787,18,187,25
57992_000301_Sideline_10,H32,836,24,356,26
57992_000301_Sideline_10,H28,998,24,346,23
57992_000301_Sideline_11,V54,342,23,286,28
57992_000301_Sideline_11,V49,344,22,384,26
57992_000301_Sideline_11,V55,403,23,371,27
57992_000301_Sideline_11,V92,492,22,231,26
57992_000301_Sideline_11,V59,495,23,351,27
57992_000301_Sideline_11,V91,542,22,357,25
57992_000301_Sideline_11,V32,560,22,332,26
57992_000301_Sideline_11,V99,586,18,340,22
57992_000301_Sideline_11,H66,610,18,320,20
57992_000301_Sideline_11,H60,661,20,284,25
57992_000301_Sideline_11,V90,665,21,318,20
57992_000301_Sideline_11,H5,676,22,294,26
57992_000301_Sideline_11,H68,715,19,291,21
57992_000301_Sideline_11,V53,770,24,271,22
57992_000301_Sideline_11,H82,787,18,186,26
57992_000301_Sideline_11,H32,836,24,356,26
57992_000301_Sideline_11,H28,998,24,346,23
57992_000301_Sideline_12,V54,341,23,286,28
57992_000301_Sideline_12,V49,344,22,384,26
57992_000301_Sideline_12,V55,403,23,372,26
57992_000301_Sideline_12,V92,492,22,231,25
57992_000301_Sideline_12,V59,495,22,351,27
57992_000301_Sideline_12,V91,542,21,357,24
57992_000301_Sideline_12,H72,560,22,332,26
57992_000301_Sideline_12,V32,564,20,202,24
57992_000301_Sideline_12,V99,584,20,340,22
57992_000301_Sideline_12,H66,609,19,320,20
57992_000301_Sideline_12,H60,662,20,286,24
57992_000301_Sideline_12,V90,664,18,318,18
57992_000301_Sideline_12,H5,677,22,294,26
57992_000301_Sideline_12,H68,715,19,291,21
57992_000301_Sideline_12,V97,718,21,273,22
57992_000301_Sideline_12,V53,770,24,272,24
57992_000301_Sideline_12,H82,786,20,186,27
57992_000301_Sideline_12,H32,835,23,356,26
57992_000301_Sideline_12,H28,998,24,346,23
57992_000301_Sideline_13,V54,341,24,287,27
57992_000301_Sideline_13,V49,343,23,384,26
57992_000301_Sideline_13,V55,403,23,372,26
57992_000301_Sideline_13,V92,492,21,231,26
57992_000301_Sideline_13,H87,495,23,351,27
57992_000301_Sideline_13,V59,496,20,386,23
57992_000301_Sideline_13,V91,542,20,356,25
57992_000301_Sideline_13,H72,559,23,332,26
57992_000301_Sideline_13,V32,564,22,201,26
57992_000301_Sideline_13,V99,584,20,339,23
57992_000301_Sideline_13,H66,608,19,320,20
57992_000301_Sideline_13,H60,660,21,284,25
57992_000301_Sideline_13,V90,663,19,316,20
57992_000301_Sideline_13,H5,676,24,295,26
57992_000301_Sideline_13,H68,714,19,290,22
57992_000301_Sideline_13,V97,718,21,274,22
57992_000301_Sideline_13,V53,770,24,272,24
57992_000301_Sideline_13,H82,786,20,186,27
57992_000301_Sideline_13,H32,835,23,356,26
57992_000301_Sideline_13,H28,998,24,346,23
57992_000301_Sideline_14,V54,341,24,287,27
57992_000301_Sideline_14,V49,343,23,384,26
57992_000301_Sideline_14,V55,404,22,372,26
57992_000301_Sideline_14,V92,492,21,231,26
57992_000301_Sideline_14,V59,495,23,351,27
57992_000301_Sideline_14,V91,541,21,355,23
57992_000301_Sideline_14,H72,560,22,332,26
57992_000301_Sideline_14,V32,566,22,202,25
57992_000301_Sideline_14,V99,584,20,339,21
57992_000301_Sideline_14,H66,608,18,320,20
57992_000301_Sideline_14,H60,661,20,283,26
57992_000301_Sideline_14,V90,663,19,317,17
57992_000301_Sideline_14,H5,676,23,296,26
57992_000301_Sideline_14,H68,714,19,290,22
57992_000301_Sideline_14,V97,718,21,274,21
57992_000301_Sideline_14,V53,770,24,271,25
57992_000301_Sideline_14,H82,786,20,186,27
57992_000301_Sideline_14,H32,834,23,355,27
57992_000301_Sideline_14,H28,998,24,346,23
57992_000301_Sideline_15,V54,341,24,287,27
57992_000301_Sideline_15,V49,343,23,384,26
57992_000301_Sideline_15,V55,404,22,372,26
57992_000301_Sideline_15,V92,492,21,231,26
57992_000301_Sideline_15,V59,495,23,351,27
57992_000301_Sideline_15,V91,541,21,354,23
57992_000301_Sideline_15,H72,560,22,332,25
57992_000301_Sideline_15,V32,570,21,204,24
57992_000301_Sideline_15,V99,584,19,338,21
57992_000301_Sideline_15,H66,607,18,320,20
57992_000301_Sideline_15,H60,660,22,283,26
57992_000301_Sideline_15,V90,662,20,317,17
57992_000301_Sideline_15,H5,676,24,297,26
57992_000301_Sideline_15,H68,712,20,291,21
57992_000301_Sideline_15,V97,718,20,273,22
57992_000301_Sideline_15,V53,770,24,270,26
57992_000301_Sideline_15,H82,786,20,186,27
57992_000301_Sideline_15,H32,834,23,355,27
57992_000301_Sideline_15,H28,996,26,346,23
57992_000301_Sideline_16,V54,341,24,287,27
57992_000301_Sideline_16,V49,342,24,384,26
57992_000301_Sideline_16,V55,404,22,371,27
57992_000301_Sideline_16,V92,492,21,231,26
57992_000301_Sideline_16,H87,493,23,350,28
57992_000301_Sideline_16,V59,495,21,386,23
57992_000301_Sideline_16,V91,541,21,353,23
57992_000301_Sideline_16,H72,560,22,331,25
57992_000301_Sideline_16,V32,572,21,204,25
57992_000301_Sideline_16,V99,582,20,338,21
57992_000301_Sideline_16,H66,606,19,320,20
57992_000301_Sideline_16,V90,660,18,316,17
57992_000301_Sideline_16,H5,678,22,298,24
57992_000301_Sideline_16,H68,712,19,291,21
57992_000301_Sideline_16,V97,718,20,274,21
57992_000301_Sideline_16,V53,770,24,269,26
57992_000301_Sideline_16,H82,786,18,186,27
57992_000301_Sideline_16,H32,834,22,355,26
57992_000301_Sideline_16,H28,996,26,346,23
57992_000301_Sideline_17,V54,341,23,286,28
57992_000301_Sideline_17,V49,342,24,384,28
57992_000301_Sideline_17,V55,404,23,372,26
57992_000301_Sideline_17,V92,492,21,231,26
57992_000301_Sideline_17,H87,493,23,350,29
57992_000301_Sideline_17,V59,494,20,386,22
57992_000301_Sideline_17,V91,542,20,352,23
57992_000301_Sideline_17,H72,557,23,331,25
57992_000301_Sideline_17,V32,574,22,205,25
57992_000301_Sideline_17,V99,582,21,336,24
57992_000301_Sideline_17,H66,607,18,320,20
57992_000301_Sideline_17,H60,662,20,280,27
57992_000301_Sideline_17,H5,678,22,301,22
57992_000301_Sideline_17,H68,710,20,290,22
57992_000301_Sideline_17,V97,719,19,273,21
57992_000301_Sideline_17,V53,774,20,268,22
57992_000301_Sideline_17,H82,786,18,186,27
57992_000301_Sideline_17,H32,833,22,354,26
57992_000301_Sideline_17,H28,996,26,346,22
57992_000301_Sideline_18,V49,341,23,286,28
57992_000301_Sideline_18,V55,404,23,372,26
57992_000301_Sideline_18,V59,492,21,231,26
57992_000301_Sideline_18,H87,493,21,386,22
57992_000301_Sideline_18,V91,540,21,350,23
57992_000301_Sideline_18,H72,560,22,330,26
57992_000301_Sideline_18,V32,576,20,207,25
57992_000301_Sideline_18,V99,582,20,335,21
57992_000301_Sideline_18,H66,602,24,306,22
57992_000301_Sideline_18,H60,656,20,351,20
57992_000301_Sideline_18,H5,679,22,302,22
57992_000301_Sideline_18,H68,712,18,289,19
57992_000301_Sideline_18,V97,718,20,274,20
57992_000301_Sideline_18,V53,774,20,266,22
57992_000301_Sideline_18,H82,786,18,186,27
57992_000301_Sideline_18,H32,832,22,353,26
57992_000301_Sideline_18,H28,996,25,345,23
57992_000301_Sideline_19,V49,341,23,286,28
57992_000301_Sideline_19,V55,404,24,372,26
57992_000301_Sideline_19,V59,492,21,231,26
57992_000301_Sideline_19,H87,494,22,348,28
57992_000301_Sideline_19,V91,541,20,348,23
57992_000301_Sideline_19,H72,560,22,329,25
57992_000301_Sideline_19,V32,576,24,208,24
57992_000301_Sideline_19,V99,582,20,334,21
57992_000301_Sideline_19,H66,602,24,305,23
57992_000301_Sideline_19,H60,656,18,312,20
57992_000301_Sideline_19,H5,680,21,301,23
57992_000301_Sideline_19,H68,709,20,288,21
57992_000301_Sideline_19,V97,719,20,273,20
57992_000301_Sideline_19,V53,774,19,265,21
57992_000301_Sideline_19,H82,786,18,186,27
57992_000301_Sideline_19,H32,833,23,352,26
57992_000301_Sideline_19,H28,996,25,345,23
57992_000301_Sideline_20,V54,341,23,286,28
57992_000301_Sideline_20,V55,405,23,371,28
57992_000301_Sideline_20,V59,492,21,231,26
57992_000301_Sideline_20,H87,493,21,384,22
57992_000301_Sideline_20,V91,541,20,346,22
57992_000301_Sideline_20,H72,560,23,329,24
57992_000301_Sideline_20,V32,579,22,207,26
57992_000301_Sideline_20,V99,584,20,333,21
57992_000301_Sideline_20,H66,603,22,305,23
57992_000301_Sideline_20,H60,661,21,278,28
57992_000301_Sideline_20,H5,681,20,302,24
57992_000301_Sideline_20,H68,708,20,287,22
57992_000301_Sideline_20,V97,720,20,272,21
57992_000301_Sideline_20,V53,774,20,263,20
57992_000301_Sideline_20,H82,786,18,186,26
57992_000301_Sideline_20,H32,832,24,351,26
57992_000301_Sideline_20,H28,996,24,344,23
57992_000301_Sideline_21,V49,340,24,286,28
57992_000301_Sideline_21,V55,406,23,371,28
57992_000301_Sideline_21,V59,491,22,382,24
57992_000301_Sideline_21,H87,495,22,345,28
57992_000301_Sideline_21,V91,539,24,344,22
57992_000301_Sideline_21,H72,561,23,327,27
57992_000301_Sideline_21,V32,580,22,209,26
57992_000301_Sideline_21,V99,584,20,332,20
57992_000301_Sideline_21,H66,606,21,304,21
57992_000301_Sideline_21,H60,661,21,277,28
57992_000301_Sideline_21,H5,681,21,302,24
57992_000301_Sideline_21,H68,704,20,289,22
57992_000301_Sideline_21,V97,719,20,272,21
57992_000301_Sideline_21,V53,772,20,261,22
57992_000301_Sideline_21,H82,784,18,186,27
57992_000301_Sideline_21,H32,832,23,350,26
57992_000301_Sideline_21,H28,995,25,344,24
57992_000301_Sideline_22,V54,341,24,384,28
57992_000301_Sideline_22,V55,406,23,371,27
57992_000301_Sideline_22,V59,489,23,380,25
57992_000301_Sideline_22,H87,492,22,231,26
57992_000301_Sideline_22,V91,540,22,342,24
57992_000301_Sideline_22,H72,563,22,328,24
57992_000301_Sideline_22,V99,583,21,211,24
57992_000301_Sideline_22,H66,602,20,320,18
57992_000301_Sideline_22,H60,662,22,276,29
57992_000301_Sideline_22,H5,683,21,302,23
57992_000301_Sideline_22,H68,703,21,286,24
57992_000301_Sideline_22,V53,772,20,260,20
57992_000301_Sideline_22,H82,784,18,186,26
57992_000301_Sideline_22,H32,832,22,350,25
57992_000301_Sideline_22,H28,992,26,344,25
57992_000301_Sideline_23,V54,341,24,384,28
57992_000301_Sideline_23,V55,405,25,370,28
57992_000301_Sideline_23,V59,489,23,378,24
57992_000301_Sideline_23,V92,492,22,231,26
57992_000301_Sideline_23,H87,495,23,343,28
57992_000301_Sideline_23,V91,540,23,338,24
57992_000301_Sideline_23,H72,564,22,328,24
57992_000301_Sideline_23,V99,584,22,212,24
57992_000301_Sideline_23,H66,610,20,304,21
57992_000301_Sideline_23,H60,662,22,275,29
57992_000301_Sideline_23,H5,684,22,302,22
57992_000301_Sideline_23,H68,701,18,287,21
57992_000301_Sideline_23,V53,772,20,259,18
57992_000301_Sideline_23,H82,784,18,186,26
57992_000301_Sideline_23,H32,832,22,347,25
57992_000301_Sideline_23,H28,992,25,344,25
57992_000301_Sideline_24,V49,342,24,286,28
57992_000301_Sideline_24,V55,408,24,369,27
57992_000301_Sideline_24,V59,488,24,377,24
57992_000301_Sideline_24,V92,492,22,231,27
57992_000301_Sideline_24,H87,496,23,340,28
57992_000301_Sideline_24,V91,540,22,338,23
57992_000301_Sideline_24,H72,564,22,327,24
57992_000301_Sideline_24,V32,585,22,211,25
57992_000301_Sideline_24,H66,600,20,316,20
57992_000301_Sideline_24,H60,662,22,274,30
57992_000301_Sideline_24,H5,683,24,300,24
57992_000301_Sideline_24,H68,698,20,286,21
57992_000301_Sideline_24,V53,768,21,258,20
57992_000301_Sideline_24,H82,784,19,186,27
57992_000301_Sideline_24,H32,831,22,346,25
57992_000301_Sideline_24,H28,992,25,344,25
57992_000301_Sideline_25,V49,341,23,286,28
57992_000301_Sideline_25,V55,407,25,368,27
57992_000301_Sideline_25,V59,487,24,375,24
57992_000301_Sideline_25,V92,492,22,231,27
57992_000301_Sideline_25,H87,497,23,340,27
57992_000301_Sideline_25,V91,540,22,338,22
57992_000301_Sideline_25,H72,566,22,327,24
57992_000301_Sideline_25,V99,587,22,211,24
57992_000301_Sideline_25,H66,600,18,316,18
57992_000301_Sideline_25,H60,664,20,274,27
57992_000301_Sideline_25,H5,686,22,300,24
57992_000301_Sideline_25,H68,696,18,285,18
57992_000301_Sideline_25,V53,766,20,257,21
57992_000301_Sideline_25,H82,783,19,186,26
57992_000301_Sideline_25,H32,830,22,344,25
57992_000301_Sideline_25,H28,992,25,344,25
57992_000301_Sideline_26,V49,341,23,286,28
57992_000301_Sideline_26,V55,408,24,368,26
57992_000301_Sideline_26,V59,486,23,374,23
57992_000301_Sideline_26,V92,492,22,231,27
57992_000301_Sideline_26,H87,499,23,339,27
57992_000301_Sideline_26,V91,538,23,337,23
57992_000301_Sideline_26,H72,568,23,327,27
57992_000301_Sideline_26,V32,588,22,211,25
57992_000301_Sideline_26,V99,590,18,324,19
57992_000301_Sideline_26,H66,616,24,302,22
57992_000301_Sideline_26,H60,664,21,273,28
57992_000301_Sideline_26,H5,687,22,300,25
57992_000301_Sideline_26,H68,694,20,282,20
57992_000301_Sideline_26,V97,707,23,292,23
57992_000301_Sideline_26,V53,764,20,257,18
57992_000301_Sideline_26,H82,783,19,186,26
57992_000301_Sideline_26,H32,830,22,344,24
57992_000301_Sideline_26,H28,991,25,344,24
57992_000301_Sideline_27,V54,341,23,286,28
57992_000301_Sideline_27,V55,410,24,367,26
57992_000301_Sideline_27,V59,486,21,372,24
57992_000301_Sideline_27,V92,492,22,231,27
57992_000301_Sideline_27,H87,500,24,338,28
57992_000301_Sideline_27,V91,538,22,336,23
57992_000301_Sideline_27,H72,570,22,326,24
57992_000301_Sideline_27,V99,591,21,210,24
57992_000301_Sideline_27,H66,616,21,302,22
57992_000301_Sideline_27,H60,662,22,273,29
57992_000301_Sideline_27,H5,690,20,298,24
57992_000301_Sideline_27,H68,691,19,283,17
57992_000301_Sideline_27,V97,704,20,289,20
57992_000301_Sideline_27,V53,762,19,256,17
57992_000301_Sideline_27,H82,783,19,186,26
57992_000301_Sideline_27,H32,830,22,343,23
57992_000301_Sideline_27,H28,991,25,344,24
57992_000301_Sideline_28,V49,341,23,286,28
57992_000301_Sideline_28,V55,410,24,366,26
57992_000301_Sideline_28,V59,482,23,370,24
57992_000301_Sideline_28,V92,492,22,232,26
57992_000301_Sideline_28,H87,503,23,337,27
57992_000301_Sideline_28,V91,537,22,335,24
57992_000301_Sideline_28,H72,570,22,325,27
57992_000301_Sideline_28,V99,592,22,210,24
57992_000301_Sideline_28,H66,614,20,304,20
57992_000301_Sideline_28,H60,664,20,272,28
57992_000301_Sideline_28,H68,688,22,281,19
57992_000301_Sideline_28,H5,691,21,298,24
57992_000301_Sideline_28,V97,708,20,288,18
57992_000301_Sideline_28,V53,760,20,256,16
57992_000301_Sideline_28,H82,783,19,186,26
57992_000301_Sideline_28,H32,830,22,340,25
57992_000301_Sideline_28,H28,990,26,344,25
57992_000301_Sideline_29,V49,341,23,286,28
57992_000301_Sideline_29,V55,412,23,365,26
57992_000301_Sideline_29,V59,482,23,368,24
57992_000301_Sideline_29,V92,493,21,232,26
57992_000301_Sideline_29,H87,506,22,336,27
57992_000301_Sideline_29,V91,536,22,334,25
57992_000301_Sideline_29,H72,572,22,327,26
57992_000301_Sideline_29,V99,591,18,319,17
57992_000301_Sideline_29,V32,593,22,208,25
57992_000301_Sideline_29,H66,612,22,304,20
57992_000301_Sideline_29,H60,666,20,272,28
57992_000301_Sideline_29,H68,686,22,280,22
57992_000301_Sideline_29,H5,692,23,298,24
57992_000301_Sideline_29,V53,760,19,255,16
57992_000301_Sideline_29,H82,782,20,186,26
57992_000301_Sideline_29,H32,830,22,338,24
57992_000301_Sideline_29,H28,991,24,345,24
57992_000301_Sideline_30,V49,341,23,286,28
57992_000301_Sideline_30,V55,413,22,364,26
57992_000301_Sideline_30,V59,481,24,367,25
57992_000301_Sideline_30,V92,492,22,232,28
57992_000301_Sideline_30,H87,508,22,335,25
57992_000301_Sideline_30,V91,534,24,334,26
57992_000301_Sideline_30,H72,574,20,326,25
57992_000301_Sideline_30,V99,591,19,318,18
57992_000301_Sideline_30,V32,595,21,208,25
57992_000301_Sideline_30,H66,612,22,302,22
57992_000301_Sideline_30,H60,664,22,272,28
57992_000301_Sideline_30,H68,682,20,282,22
57992_000301_Sideline_30,H5,696,20,296,26
57992_000301_Sideline_30,V53,758,20,253,17
57992_000301_Sideline_30,H82,782,20,186,26
57992_000301_Sideline_30,H32,830,22,336,24
57992_000301_Sideline_30,H28,990,26,346,24
57992_000301_Sideline_31,V54,341,23,286,28
57992_000301_Sideline_31,V49,342,24,384,26
57992_000301_Sideline_31,V55,414,24,364,27
57992_000301_Sideline_31,V59,480,23,366,26
57992_000301_Sideline_31,V92,492,22,232,28
57992_000301_Sideline_31,H87,510,22,334,28
57992_000301_Sideline_31,V91,532,24,333,24
57992_000301_Sideline_31,H72,578,16,326,22
57992_000301_Sideline_31,V99,590,16,317,17
57992_000301_Sideline_31,V32,596,22,208,24
57992_000301_Sideline_31,H66,611,20,300,22
57992_000301_Sideline_31,H60,664,22,273,26
57992_000301_Sideline_31,H68,682,18,282,22
57992_000301_Sideline_31,H5,698,20,297,25
57992_000301_Sideline_31,V53,758,20,253,17
57992_000301_Sideline_31,H82,782,18,186,26
57992_000301_Sideline_31,H32,830,22,333,23
57992_000301_Sideline_31,H28,990,24,346,24
57992_000301_Sideline_32,V49,341,23,286,28
57992_000301_Sideline_32,V55,414,24,364,27
57992_000301_Sideline_32,V59,480,22,366,24
57992_000301_Sideline_32,V92,492,22,232,28
57992_000301_Sideline_32,H87,511,22,334,26
57992_000301_Sideline_32,V91,533,22,335,21
57992_000301_Sideline_32,H72,576,20,326,24
57992_000301_Sideline_32,V99,589,16,318,16
57992_000301_Sideline_32,V32,596,22,207,25
57992_000301_Sideline_32,H66,608,22,300,22
57992_000301_Sideline_32,H60,665,21,272,27
57992_000301_Sideline_32,H68,682,18,280,23
57992_000301_Sideline_32,H5,701,19,297,24
57992_000301_Sideline_32,V53,758,19,252,18
57992_000301_Sideline_32,H82,782,18,186,26
57992_000301_Sideline_32,H32,830,22,331,23
57992_000301_Sideline_32,H28,992,24,347,25
57992_000301_Sideline_33,V49,342,23,286,28
57992_000301_Sideline_33,V55,416,24,364,26
57992_000301_Sideline_33,V59,480,22,366,24
57992_000301_Sideline_33,V92,492,23,233,27
57992_000301_Sideline_33,H87,516,18,334,21
57992_000301_Sideline_33,V91,532,20,335,22
57992_000301_Sideline_33,H72,576,20,326,24
57992_000301_Sideline_33,V99,587,17,317,17
57992_000301_Sideline_33,V32,598,22,207,25
57992_000301_Sideline_33,H66,608,20,300,22
